round,controller,seed,brownout_steps,unserved_energy_mwh,surplus_energy_mwh,co2_kg,peak_deficit_mw,max_frequency_deviation_hz,ticks_outside_freq_dead_band,total_cost_eur,lcoe_eur_per_mwh,path
round_01_codex_r1,codex_r1,3,51.0,319.62221426455255,7.17535897571571,26457.28713774493,123.6807065853421,0.6184035329267132,15.0,2420635.62342671,540.194610038398,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_03\codex_operator.csv
round_01_codex_r1,codex_r1,5,62.0,262.62526280539856,5.180010122680401,26500.379685520053,106.01411063850672,0.5300705531925303,13.0,2022651.7546780203,445.9064328180836,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_05\codex_operator.csv
round_01_codex_r1,codex_r1,7,57.0,320.79173042607283,15.958389024721596,26451.78673567741,107.99248552444169,0.539962427622207,15.0,2428695.2597756227,541.0739057932923,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_07\codex_operator.csv
round_01_codex_r1,codex_r1,13,66.0,326.7539135653828,10.588126449340255,26442.410166863276,128.21796072651782,0.6410898036325889,15.0,2470214.0836597183,551.7165367437881,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_13\codex_operator.csv
round_01_codex_r1,codex_r1,17,57.0,332.0242570215122,16.843566812667692,26442.751955787222,123.61100999496772,0.6180550499748421,15.0,2507114.3780499334,559.8349567933901,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_17\codex_operator.csv
round_01_codex_r1,codex_r1,19,58.0,290.7726050844371,3.767194489174716,26471.25,122.28313031444874,0.6114156515722442,14.0,2219024.032360373,492.2536395378147,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_19\codex_operator.csv
round_01_codex_r1,codex_r1,23,60.0,351.32578718756486,8.713398183393306,26449.546001648967,120.86917321393778,0.6043458660696857,16.0,2642381.9297610205,593.6765430858806,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_23\codex_operator.csv
round_01_codex_r1,codex_r1,31,50.0,256.2788872909264,12.096871811919623,26505.78864439604,122.31643983331487,0.6115821991665769,13.0,1978351.9918923674,434.8687276895267,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_31\codex_operator.csv
round_01_codex_r1,codex_r1,41,56.0,283.71300331457036,5.052850005164025,26478.93692422001,116.68903386855078,0.5834451693427525,14.0,2169773.93789797,480.5545113179894,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_41\codex_operator.csv
round_01_codex_r1,codex_r1,42,58.0,307.2084485721715,14.407562054890956,26457.414507159483,123.70357406118285,0.6185178703059151,15.0,2333742.2039029775,518.5299154318609,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_42\codex_operator.csv
round_01_codex_r1,codex_r1,55,49.0,311.9515011144771,14.86580972352216,26457.298810146287,115.12878861407815,0.5756439430703892,15.0,2366940.9008335667,526.4074304596726,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_55\codex_operator.csv
round_01_codex_r1,codex_r1,67,62.0,331.7828386761699,6.5011575416742575,26453.255438297943,118.81375530620882,0.5940687765310457,16.0,2505666.922526297,560.7765941399738,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_67\codex_operator.csv
round_01_codex_r1,codex_r1,73,57.0,269.74566987994325,17.674099911041527,26488.99191142808,112.02042831935866,0.5601021415967935,13.0,2072231.7174349201,456.29609380490126,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_73\codex_operator.csv
round_01_codex_r1,codex_r1,88,55.0,303.54605478910855,4.344971711816204,26471.25,111.35740880013323,0.5567870440006644,14.0,2308428.966009273,513.5864592432807,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_88\codex_operator.csv
round_01_codex_r1,codex_r1,99,57.0,293.88757297075347,9.941920668251635,26473.171402468433,122.62028832299582,0.6131014416149796,14.0,2240872.8133831145,496.7672966263932,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator\seed_99\codex_operator.csv
round_02_codex_r2,codex_r2,3,51,315.497214264553,7.175358975715704,26621.25,123.6807065853421,0.6184035329267132,13,2395545.706101871,534.103820089529,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_03\codex_r2.csv
round_02_codex_r2,codex_r2,5,61,258.50026280539856,5.180010122680402,26641.729322180607,106.01411063850672,0.5300705531925303,12,1997039.8110403293,439.8601160091131,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_05\codex_r2.csv
