series,controller,seed,brownouts,unserved_mwh,surplus_mwh,co2_kg,co2_per_mwh,ren_share,gen_mwh,demand_mwh,peak_def_mw,peak_sur_mw,max_freq_dev_hz,ticks_out_band,total_cost_eur,voll_cost_eur,fuel_cost_eur,storage_cost_eur,market_revenue_eur,net_eur,lcoe_eur_per_mwh,hash
R2,naive,3,60,1271.52,406.03,26733.75,5.517,0.5660,3980.26,4845.75,184.95,87.27,0.925,66,9087915.67,8900637.68,185005.62,0.00,325901.51,-8762014.16,2283.25,b77d749c58aa1af8
R1,naive,7,61,1246.14,386.30,26733.75,5.517,0.5672,3985.91,4845.75,180.30,86.73,0.902,62,8910273.12,8722995.12,185005.62,0.00,328312.38,-8581960.74,2235.44,bff5b108b452f8ec
R1,naive,13,62,1254.77,384.73,26733.75,5.517,0.5651,3975.72,4845.75,181.17,94.55,0.906,61,8970647.42,8783369.43,185005.62,0.00,327493.01,-8643154.41,2256.36,8210019b3f8c0ac5
R2,naive,17,61,1248.34,379.29,26733.75,5.517,0.5653,3976.70,4845.75,185.62,85.79,0.928,64,8925632.55,8738354.56,185005.62,0.00,328103.93,-8597528.62,2244.48,1fcbc657ca07fce9
R1,naive,23,61,1276.30,379.82,26733.75,5.517,0.5596,3949.27,4845.75,185.00,85.99,0.925,60,9121409.22,8934131.22,185005.62,0.00,325446.96,-8795962.26,2309.64,aa1110c632fd8fe8
R2,naive,31,59,1210.11,412.06,26733.75,5.517,0.5799,4047.70,4845.75,183.47,88.13,0.917,62,8658046.11,8470768.11,185005.62,0.00,331735.46,-8326310.65,2139.00,df807d1dd19cbe31
R1,naive,42,59,1225.54,377.53,26733.75,5.517,0.5696,3997.75,4845.75,183.08,95.38,0.915,62,8766037.57,8578759.58,185005.62,0.00,330269.86,-8435767.71,2192.75,0dab242f1ccbf1a9
R2,naive,55,61,1258.45,407.49,26733.75,5.517,0.5690,3994.80,4845.75,177.47,78.48,0.887,73,8996413.59,8809135.60,185005.62,0.00,327143.33,-8669270.26,2252.03,427ed5a82ebaf030
R2,naive,73,60,1225.67,419.73,26733.75,5.517,0.5783,4039.81,4845.75,184.40,92.57,0.922,65,8766970.85,8579692.86,185005.62,0.00,330257.19,-8436713.66,2170.14,bbb65a88abab5513
R1,naive,99,58,1245.00,407.32,26733.75,5.517,0.5718,4008.07,4845.75,181.60,90.66,0.908,64,8902271.12,8714993.13,185005.62,0.00,328420.98,-8573850.14,2221.09,5fec1c02f5cf1c34
R2,rule_based,3,62,249.79,20.37,26733.75,5.577,0.5722,4564.07,4793.49,75.33,19.25,0.377,6,1938225.99,1748563.72,185005.63,2384.27,422965.38,-1515260.61,424.67,90ea853ebb054272
R1,rule_based,7,67,243.43,19.08,26733.75,5.577,0.5734,4569.14,4793.49,76.53,18.64,0.383,5,1893699.71,1704037.45,185005.62,2384.28,423569.66,-1470130.05,414.45,6555bc77ca639a31
R1,rule_based,13,67,252.04,17.50,26733.75,5.577,0.5712,4558.95,4793.49,82.73,17.34,0.414,6,1953941.91,1764279.64,185005.63,2384.28,422752.09,-1531189.82,428.59,9aad944eea7d58f7
R2,rule_based,17,67,247.96,14.40,26733.75,5.577,0.5714,4559.93,4793.49,79.51,15.94,0.398,6,1925347.42,1735685.15,185005.63,2384.28,423140.16,-1502207.26,422.23,8f6943fd2908c929
R1,rule_based,23,63,285.10,24.69,26733.75,5.577,0.5657,4533.08,4793.49,88.20,18.27,0.441,8,2185349.94,1995687.67,185005.62,2384.28,419611.55,-1765738.39,482.09,8f9879dd6d18c248
R2,rule_based,31,60,187.52,24.97,26733.75,5.577,0.5863,4630.93,4793.49,46.57,17.68,0.233,2,1502323.80,1312661.53,185005.63,2384.27,428881.19,-1073442.61,324.41,c5228a14f10df259
R1,rule_based,42,66,225.00,12.48,26733.75,5.577,0.5758,4580.98,4793.49,80.70,16.32,0.403,4,1764651.98,1574989.71,185005.63,2384.27,425321.02,-1339330.95,385.21,f6603a498ee63ab3
R2,rule_based,55,61,234.33,18.87,26733.75,5.577,0.5752,4578.03,4793.49,73.69,17.20,0.368,5,1829954.74,1640292.47,185005.63,2384.28,424434.77,-1405519.97,399.73,17c531948246d1d5
R2,rule_based,73,66,185.00,13.41,26733.75,5.577,0.5846,4621.89,4793.49,50.15,19.76,0.251,2,1484680.24,1295017.97,185005.62,2384.28,429120.64,-1055559.60,321.23,9ab639dcc0ab19ee
R1,rule_based,99,62,218.20,15.88,26733.75,5.576,0.5778,4592.54,4794.86,74.55,13.02,0.373,4,1717048.44,1527373.18,185005.63,2397.27,425967.25,-1291081.19,373.88,1ed9d38c1d213c56
R2,claude_subagent,3,56,871.42,460.58,26935.87,5.064,0.5156,4908.73,5319.57,221.02,129.32,1.000,42,6297954.13,6099933.52,189856.62,5874.44,364440.80,-5933513.33,1283.01,fc8172f74e2f8123
R1,claude_subagent,7,62,1067.17,650.00,27349.75,4.990,0.5014,5063.89,5481.06,139.98,287.02,1.000,68,7678039.57,7470213.06,199789.62,5712.16,345314.42,-7332725.15,1516.23,8736daf801b9b423
R1,claude_subagent,13,51,788.78,507.26,26887.75,5.230,0.5327,4859.14,5140.66,161.74,162.82,0.814,57,5717928.48,5521429.66,188701.62,5511.74,371914.54,-5346013.94,1176.74,41d4c9f8b163844b
R2,claude_subagent,17,51,1065.54,689.76,26984.00,4.979,0.5054,5044.16,5419.94,133.41,160.46,0.802,70,7658789.90,7458776.95,191011.62,6707.69,345469.62,-7313320.27,1518.35,9dc07d5b6fc60a88
R1,claude_subagent,23,55,1053.36,643.45,27022.50,5.212,0.5230,4774.71,5184.61,156.32,187.06,0.935,68,7572736.69,7373485.09,191935.62,5019.06,346627.16,-7226109.53,1586.01,0e722859b9a8744a
R2,claude_subagent,31,57,1324.49,956.11,27051.37,4.754,0.4939,5321.73,5690.10,259.84,232.73,1.000,77,9475009.50,9271428.39,192628.62,8653.12,320869.35,-9154140.15,1780.44,a87da1f229553d9f
R1,claude_subagent,42,52,941.80,614.17,27003.25,5.025,0.5136,5046.18,5373.81,190.57,170.18,0.953,61,6793639.57,6592611.23,191473.62,7259.44,357224.73,-6436414.84,1346.29,3d6d4667506bc511
R2,claude_subagent,55,57,1220.59,837.99,27041.75,4.989,0.5087,5037.59,5420.19,195.74,205.20,1.000,73,8745432.06,8544108.07,192397.62,6627.82,330740.13,-8414691.93,1736.04,ba015dcd720809d1
R2,claude_subagent,73,56,1012.52,643.73,27138.00,4.984,0.5147,5076.27,5445.06,256.94,172.35,1.000,59,7291475.73,7087619.13,194707.63,6842.25,357043.98,-6934431.75,1436.38,07980a98f13b0559
R1,claude_subagent,99,44,943.54,702.15,26878.12,5.274,0.5437,4854.50,5095.89,169.83,224.65,1.000,58,6800369.10,6604747.63,188470.62,4866.21,357060.02,-6443309.08,1400.84,3ea77c705f620dd7
