source_group,series,controller,seed,steps,brownout_steps,unserved_energy_mwh,surplus_energy_mwh,co2_kg,renewable_share_of_demand,peak_deficit_mw,max_frequency_deviation_hz,ticks_outside_freq_dead_band,total_cost_eur,market_revenue_eur,net_eur,lcoe_eur_per_mwh,reproducibility_hash,metrics_path,csv_path,endstate_path
baseline,baseline_n15,naive,3,96,60,1271.5196680298461,406.0282794498874,26733.749999999996,0.5660135266628432,184.9522749489033,0.92476137474452,66,9087915.669958923,325901.51461197744,-8762014.155346945,2283.245639383673,b77d749c58aa1af8,01_baselines\naive\seed_03\naive.metrics.json,01_baselines\naive\seed_03\naive.csv,
baseline,baseline_n15,naive,5,96,59,1227.1663337662267,415.8532721241986,26733.749999999996,0.5771941055119925,183.2041061243693,0.9160205306218501,66,8777442.330113588,330115.0813670215,-8447327.248746566,2175.6282892389604,ca73657c75fc0864,01_baselines\naive\seed_05\naive.metrics.json,01_baselines\naive\seed_05\naive.csv,
baseline,baseline_n15,naive,7,96,61,1246.1421605113405,386.2995112423479,26733.749999999996,0.5671792358833753,180.30018261554164,0.9015009130777116,62,8910273.117329383,328312.3778262355,-8581960.739503147,2235.4422568276013,bff5b108b452f8ec,01_baselines\naive\seed_07\naive.metrics.json,01_baselines\naive\seed_07\naive.csv,
baseline,baseline_n15,naive,13,96,62,1254.7670612535976,384.73346517824535,26733.749999999996,0.565076168277642,181.1735408588323,0.9058677042941596,61,8970647.422525184,327493.01225572097,-8643154.410269463,2256.3581121594166,8210019b3f8c0ac5,01_baselines\naive\seed_13\naive.metrics.json,01_baselines\naive\seed_13\naive.csv,
baseline,baseline_n15,naive,17,96,61,1248.3363652017424,379.2878660335881,26733.749999999996,0.565279459044771,185.62314850190586,0.9281157425095259,64,8925632.550162198,328103.9283806473,-8597528.62178155,2244.4795327733027,1fcbc657ca07fce9,01_baselines\naive\seed_17\naive.metrics.json,01_baselines\naive\seed_17\naive.csv,
baseline,baseline_n15,naive,19,96,59,1250.958804207858,410.2223205936853,26733.749999999996,0.5711221038839569,184.40149153861225,0.9220074576930628,66,8943989.623205006,327854.7966750663,-8616134.82652994,2233.196517398621,6ced1b5ddcb76508,01_baselines\naive\seed_19\naive.metrics.json,01_baselines\naive\seed_19\naive.csv,
baseline,baseline_n15,naive,23,96,61,1276.304460268739,379.82426230525675,26733.749999999996,0.5596184818850546,184.9967259328043,0.9249836296640197,60,9121409.215631172,325446.9593492828,-8795962.25628189,2309.642550074749,aa1110c632fd8fe8,01_baselines\naive\seed_23\naive.metrics.json,01_baselines\naive\seed_23\naive.csv,
baseline,baseline_n15,naive,31,96,59,1210.1097302141209,412.05990577580343,26733.749999999996,0.5799311902049351,183.47139424966062,0.917356971248303,62,8658046.105248846,331735.4587044715,-8326310.6465443745,2139.0020641331116,df807d1dd19cbe31,01_baselines\naive\seed_31\naive.metrics.json,01_baselines\naive\seed_31\naive.csv,
baseline,baseline_n15,naive,41,96,60,1257.3770614877828,424.8799076852913,26733.749999999996,0.57282242358429,184.21276158129322,0.9210638079064637,62,8988917.42416448,327245.0622334733,-8661672.361931005,2239.8065510726356,161cb0b9838553e8,01_baselines\naive\seed_41\naive.metrics.json,01_baselines\naive\seed_41\naive.csv,
baseline,baseline_n15,naive,42,96,59,1225.5370821577412,377.52977333044595,26733.749999999996,0.5696216508580295,183.08374140931437,0.9154187070465696,62,8766037.568854189,330269.86026982754,-8435767.70858436,2192.7450047561706,0dab242f1ccbf1a9,01_baselines\naive\seed_42\naive.metrics.json,01_baselines\naive\seed_42\naive.csv,
baseline,baseline_n15,naive,55,96,61,1258.4479427325832,407.49444238231797,26733.749999999996,0.5690136563242559,177.47234983789062,0.8873617491894521,73,8996413.592878083,327143.32851521746,-8669270.264362866,2252.0311472921708,427ed5a82ebaf030,01_baselines\naive\seed_55\naive.metrics.json,01_baselines\naive\seed_55\naive.csv,
baseline,baseline_n15,naive,67,96,59,1273.174528368874,394.0250382750684,26733.749999999996,0.5631949552979467,184.1280916278414,0.9206404581392036,64,9099499.692332119,325744.3028797701,-8773755.38945235,2294.027866464019,b380b04164f9944d,01_baselines\naive\seed_67\naive.metrics.json,01_baselines\naive\seed_67\naive.csv,
baseline,baseline_n15,naive,73,96,60,1225.6704081946375,419.7310292664259,26733.749999999996,0.5783030523305415,184.40222360216424,0.9220111180108219,65,8766970.851112463,330257.19429632224,-8436713.65681614,2170.142240742023,bbb65a88abab5513,01_baselines\naive\seed_73\naive.metrics.json,01_baselines\naive\seed_73\naive.csv,
baseline,baseline_n15,naive,88,96,59,1253.9244063824822,400.8978069043597,26733.749999999996,0.5685858386050475,182.66101478129747,0.9133050739064856,64,8964748.838427376,327573.06446847704,-8637175.7739589,2245.2698353824,24379366a6d9bcc9,01_baselines\naive\seed_88\naive.metrics.json,01_baselines\naive\seed_88\naive.csv,
baseline,baseline_n15,naive,99,96,58,1244.999017857554,407.31870763710606,26733.749999999996,0.5717527949653622,181.59711176464617,0.9079855588232277,64,8902271.118752878,328420.9763783454,-8573850.142374532,2221.085076248568,5fec1c02f5cf1c34,01_baselines\naive\seed_99\naive.metrics.json,01_baselines\naive\seed_99\naive.csv,
baseline,baseline_n15,rule_based,3,96,62,249.7948166925986,20.37123707195038,26733.750000000004,0.5721846991771989,75.32972791748837,0.37664863958744377,6,1938225.9855981902,422965.3754890158,-1515260.6101091744,424.6708078637385,90ea853ebb054272,01_baselines\rule_based\seed_03\rule_based.metrics.json,01_baselines\rule_based\seed_03\rule_based.csv,
baseline,baseline_n15,rule_based,5,96,64,201.79434426232078,26.54909157960331,26733.750000000004,0.5834871784362116,66.44092970566889,0.3322046485283465,3,1602222.6785862455,427525.42036989215,-1174697.2582163534,346.9332166857778,edbc14d48aecb6c2,01_baselines\rule_based\seed_05\rule_based.metrics.json,01_baselines\rule_based\seed_05\rule_based.csv,
baseline,baseline_n15,rule_based,7,96,67,243.4339208125245,19.084080502842486,26733.750000000004,0.5733631179750865,76.53401991040155,0.3826700995520085,5,1893699.7144376715,423569.6605976228,-1470130.0538400486,414.4542390109949,6555bc77ca639a31,01_baselines\rule_based\seed_07\rule_based.metrics.json,01_baselines\rule_based\seed_07\rule_based.csv,
baseline,baseline_n15,rule_based,13,96,67,252.039948089169,17.49916097312695,26733.75,0.5712371208943621,82.72924166264424,0.4136462083132244,6,1953941.905374183,422752.08800634166,-1531189.8173678415,428.59474858461834,9aad944eea7d58f7,01_baselines\rule_based\seed_13\rule_based.metrics.json,01_baselines\rule_based\seed_13\rule_based.csv,
baseline,baseline_n15,rule_based,17,96,67,247.95502163048053,14.39933142163631,26733.75,0.5714426281145181,79.51241592639474,0.39756207963197454,6,1925347.4201633637,423140.156019917,-1502207.2641434467,422.23134783618474,8f6943fd2908c929,01_baselines\rule_based\seed_17\rule_based.metrics.json,01_baselines\rule_based\seed_17\rule_based.csv,
baseline,baseline_n15,rule_based,19,96,62,235.71959742388185,29.764186828619803,26733.750000000004,0.5771801103706841,70.76984115154211,0.3538492057577116,6,1839712.7912364865,424302.5213195439,-1415410.2699169426,400.90168761160146,238df2ef1de86fde,01_baselines\rule_based\seed_19\rule_based.metrics.json,01_baselines\rule_based\seed_19\rule_based.csv,
baseline,baseline_n15,rule_based,23,96,63,285.09823926080355,24.685850256631944,26733.750000000004,0.5657199300506064,88.20286658508213,0.4410143329254126,8,2185349.943575625,419611.5503450364,-1765738.3932305884,482.08962889530244,8f9879dd6d18c248,01_baselines\rule_based\seed_23\rule_based.metrics.json,01_baselines\rule_based\seed_23\rule_based.csv,
baseline,baseline_n15,rule_based,31,96,60,187.52307566706855,24.966060188062283,26733.750000000007,0.586254105210714,46.56503934230361,0.23282519671151647,2,1502323.79841948,428881.19088644115,-1073442.6075330388,324.41057594917135,c5228a14f10df259,01_baselines\rule_based\seed_31\rule_based.metrics.json,01_baselines\rule_based\seed_31\rule_based.csv,
baseline,baseline_n15,rule_based,41,96,63,225.39670680019432,28.361553490788488,26733.750000000004,0.5790296633056646,79.25115811216602,0.39625579056082927,5,1767442.222151719,425283.1959287942,-1342159.0262229247,384.49644227729294,6ba119ea40edfb77,01_baselines\rule_based\seed_41\rule_based.metrics.json,01_baselines\rule_based\seed_41\rule_based.csv,
baseline,baseline_n15,rule_based,42,96,66,224.9985295974098,12.484029729424694,26733.75,0.5758321622853491,80.69507811511116,0.4034753905755579,4,1764651.9759318687,425321.02276305866,-1339330.9531688099,385.21310228356566,f6603a498ee63ab3,01_baselines\rule_based\seed_42\rule_based.metrics.json,01_baselines\rule_based\seed_42\rule_based.csv,
baseline,baseline_n15,rule_based,55,96,61,234.32749602471236,18.86680463375756,26733.750000000004,0.5752175388655525,73.68848356751178,0.3684424178375565,5,1829954.7409229865,424434.77095246484,-1405519.9699705217,399.72538799738334,17c531948246d1d5,01_baselines\rule_based\seed_55\rule_based.metrics.json,01_baselines\rule_based\seed_55\rule_based.csv,
baseline,baseline_n15,rule_based,67,96,66,264.8946502719649,21.81296913746928,26733.75,0.5693353972920632,77.94075766175278,0.38970378830876484,8,2043924.8206537543,421530.8912989759,-1622393.9293547785,449.1738880338202,245c471ff0348714,01_baselines\rule_based\seed_67\rule_based.metrics.json,01_baselines\rule_based\seed_67\rule_based.csv,
baseline,baseline_n15,rule_based,73,96,66,185.00256674264332,13.4059967737417,26733.75,0.584608215958965,50.1515559978739,0.250757779989371,2,1484680.2359485033,429120.6392342615,-1055559.5967142417,321.2276739570523,9ab639dcc0ab19ee,01_baselines\rule_based\seed_73\rule_based.metrics.json,01_baselines\rule_based\seed_73\rule_based.csv,
baseline,baseline_n15,rule_based,88,96,60,242.62212110279157,25.046038025499875,26733.750000000004,0.5747330482870183,76.58717376542667,0.3829358688271327,6,1888021.2427050543,423646.7815700474,-1464374.461135007,412.56066327641514,79d0e08272a54716,01_baselines\rule_based\seed_88\rule_based.metrics.json,01_baselines\rule_based\seed_88\rule_based.csv,
baseline,baseline_n15,rule_based,99,96,62,218.19616823740392,15.875515934902,26733.75,0.5778219221723916,74.54824392797764,0.3727412196398916,4,1717048.4371736837,425967.24709225923,-1291081.1900814245,373.87809804529456,1ed9d38c1d213c56,01_baselines\rule_based\seed_99\rule_based.metrics.json,01_baselines\rule_based\seed_99\rule_based.csv,
claude_live,reihe_01,claude_subagent,7,96,62,1067.1732939855767,649.9976251044653,27349.75,0.5014376219016193,139.98492386239903,1.0,68,7678039.571649037,345314.4201461832,-7332725.151502854,1516.2346032520536,8736daf801b9b423,02_claude_live\reihe_01\seed_07\claude_subagent.metrics.json,02_claude_live\reihe_01\seed_07\claude_subagent.csv,02_claude_live\reihe_01\seed_07\claude_subagent.endstate.json
claude_live,reihe_01,claude_subagent,13,96,51,788.7756651342896,507.26197675932434,26887.749999999993,0.5326595474319704,161.73641681594978,0.814088884350582,57,5717928.4796900265,371914.54389192857,-5346013.935798098,1176.7360662728872,41d4c9f8b163844b,02_claude_live\reihe_01\seed_13\claude_subagent.metrics.json,02_claude_live\reihe_01\seed_13\claude_subagent.csv,02_claude_live\reihe_01\seed_13\claude_subagent.endstate.json
claude_live,reihe_01,claude_subagent,23,96,55,1053.3550127174497,643.4547432609039,27022.499999999996,0.5230427456995538,156.31900027017304,0.9353108852424512,68,7572736.689022147,346627.1568666551,-7226109.532155492,1586.0095633672827,0e722859b9a8744a,02_claude_live\reihe_01\seed_23\claude_subagent.metrics.json,02_claude_live\reihe_01\seed_23\claude_subagent.csv,02_claude_live\reihe_01\seed_23\claude_subagent.endstate.json
claude_live,reihe_01,claude_subagent,42,96,52,941.8016044426582,614.1710236486737,27003.25,0.5136481376890714,190.5690098161324,0.9528450490806648,61,6793639.57311038,357224.7306527605,-6436414.8424576195,1346.2944815563212,3d6d4667506bc511,02_claude_live\reihe_01\seed_42\claude_subagent.metrics.json,02_claude_live\reihe_01\seed_42\claude_subagent.csv,02_claude_live\reihe_01\seed_42\claude_subagent.endstate.json
claude_live,reihe_01,claude_subagent,99,96,44,943.5353757074453,702.1472080285673,26878.124999999996,0.5436880581515243,169.82697828883198,1.0,58,6800369.100577117,357060.0223826057,-6443309.078194511,1400.8385014396724,3ea77c705f620dd7,02_claude_live\reihe_01\seed_99\claude_subagent.metrics.json,02_claude_live\reihe_01\seed_99\claude_subagent.csv,02_claude_live\reihe_01\seed_99\claude_subagent.endstate.json
claude_live,reihe_02,claude_subagent,3,96,56,871.4190738831578,460.5840839542914,26935.874999999996,0.5155987498254733,221.02484366419276,1.0,42,6297954.134057105,364440.8018762575,-5933513.332180847,1283.0104717160118,fc8172f74e2f8123,02_claude_live\reihe_02\seed_03\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_03\claude_subagent.csv,02_claude_live\reihe_02\seed_03\claude_subagent.endstate.json
claude_live,reihe_02,claude_subagent,17,96,51,1065.5395636393998,689.7571211132273,26984.0,0.505393912394854,133.4132209906941,0.8022934526346717,70,7658789.895475799,345469.62452906993,-7313320.270946729,1518.348589895136,9dc07d5b6fc60a88,02_claude_live\reihe_02\seed_17\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_17\claude_subagent.csv,02_claude_live\reihe_02\seed_17\claude_subagent.endstate.json
claude_live,reihe_02,claude_subagent,31,96,57,1324.4897705647188,956.1138116600944,27051.374999999993,0.49387564070120066,259.84254237612447,1.0,77,9475009.504249083,320869.3548711647,-9154140.149377918,1780.4386892080502,a87da1f229553d9f,02_claude_live\reihe_02\seed_31\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_31\claude_subagent.csv,02_claude_live\reihe_02\seed_31\claude_subagent.endstate.json
claude_live,reihe_02,claude_subagent,55,96,57,1220.5868676697692,837.9857455584814,27041.749999999996,0.5087091692062704,195.73509983802276,1.0,73,8745432.062438384,330740.13064618496,-8414691.9317922,1736.0356577887358,ba015dcd720809d1,02_claude_live\reihe_02\seed_55\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_55\claude_subagent.csv,02_claude_live\reihe_02\seed_55\claude_subagent.endstate.json
claude_live,reihe_02,claude_subagent,73,96,56,1012.5170182253985,643.7252696850691,27138.000000000007,0.5146523521824774,256.93638760771654,1.0,59,7291475.73257779,357043.9800737397,-6934431.75250405,1436.3844862650565,07980a98f13b0559,02_claude_live\reihe_02\seed_73\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_73\claude_subagent.csv,02_claude_live\reihe_02\seed_73\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,5,96,54,875.5313365385663,607.1086949985091,26907.000000000004,0.5382694470902359,133.38687061195589,0.66693435305978,66,6325391.355769964,363520.40610364923,-5961870.949666315,1283.6270293733648,a6c2466507bb7000,02_claude_live\reihe_03\seed_05\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_05\claude_subagent.csv,02_claude_live\reihe_03\seed_05\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,19,96,67,1223.7057887493488,831.5290171164345,27022.499999999993,0.4991961369684203,193.29494058369806,1.0,67,8767521.193745442,330443.83314362494,-8437077.360601816,1701.8463854384906,274377deb0b3cdcf,02_claude_live\reihe_03\seed_19\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_19\claude_subagent.csv,02_claude_live\reihe_03\seed_19\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,41,96,60,831.946677432088,477.3012623741588,26984.0,0.5249784295190129,169.53594309787835,0.8476797154893916,52,6022243.327024616,367660.9487187646,-5654582.3783058515,1220.875198454387,9206a24876a6b03d,02_claude_live\reihe_03\seed_41\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_41\claude_subagent.csv,02_claude_live\reihe_03\seed_41\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,67,96,58,1077.381950642632,650.6442306390215,27099.49999999999,0.49710870946052194,192.9164394793788,1.0,52,7744885.117760197,344344.5977637628,-7400540.519996434,1529.6375053224137,bdb17a9dbb2d2d30,02_claude_live\reihe_03\seed_67\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_67\claude_subagent.csv,02_claude_live\reihe_03\seed_67\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,88,96,52,1135.763249055977,745.9458490093442,27041.75,0.5042619954536258,205.67138692758942,1.0,65,8151736.140396686,338798.3744144949,-7812937.765982191,1606.5503747985015,bc60049b20f32c45,02_claude_live\reihe_03\seed_88\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_88\claude_subagent.csv,02_claude_live\reihe_03\seed_88\claude_subagent.endstate.json
codex_operator,round_01_codex_r1,codex_operator,3,96,51,319.62221426455255,7.17535897571571,26457.28713774493,0.5721846991771989,123.6807065853421,0.6184035329267132,15,2420635.62342671,416331.7727196803,-2004303.8507070295,540.194610038398,2acc753c350c1ec2,03_codex_operator\round_01_codex_r1\seed_03\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_03\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,5,96,62,262.62526280539856,5.180010122680401,26500.379685520053,0.5834871784362116,106.01411063850672,0.5300705531925303,13,2022651.7546780203,421746.4831082998,-1600905.2715697205,445.9064328180836,2cd9f5df3a52b33a,03_codex_operator\round_01_codex_r1\seed_05\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_05\codex_operator.csv,
