series,seed,irr_mean,irr_max,wind_mean,wind_max,wind_min,temp_mean,temp_min,temp_max,pv_total_mwh,wind_total_mwh,renewable_total_mwh,pv_klasse,wind_klasse
R2,3,226.9035538762945,634.3020593163523,6.912393940614703,9.830948756358769,4.227460404205822,10.0,4.0,16.0,1056.4629468480273,629.0739720631892,1685.5369189112166,mittel,schwach
R3,5,227.9900685638898,636.7978621632192,7.15591143061658,9.70134567797641,4.35461258797983,10.0,4.0,16.0,1061.521759233471,678.1934866156762,1739.715245849147,stark,stark
R1,7,226.3055046276011,635.8731961330116,7.012366513575646,9.498083942369968,4.342754955885674,10.0,4.0,16.0,1053.6784295461107,637.5072286760717,1691.1856582221824,schwach,schwach
R1,13,225.59997560175992,624.6539279421581,6.953160985588046,9.656496515946152,4.405572990611508,10.0,4.0,16.0,1050.3934864017942,630.6012250140288,1680.994711415823,schwach,schwach
R2,17,227.71285472614923,628.2998630440588,6.991936422006795,9.72117962327577,4.139739473711979,10.0,4.0,16.0,1060.2310516049508,621.7487567180698,1681.9798083230207,stark,schwach
R3,19,228.8402386427658,641.5470823187117,6.997873867548421,9.473407995501464,4.239543246927586,10.0,4.0,16.0,1065.4801511207174,644.8116727562848,1710.2918238770021,stark,mittel
R1,23,225.11023967985807,640.1902349154611,6.8781663671617155,9.658952094917904,4.30277787853264,10.0,4.0,16.0,1048.1132759494192,606.4348335782738,1654.548109527693,schwach,schwach
R2,31,226.48097806131196,625.8852159802905,7.23574235208519,9.69156095787857,4.463354297416139,10.0,4.0,16.0,1054.4954338534685,698.483049199389,1752.9784830528574,schwach,stark
R3,41,227.14482161672805,633.0184404359095,7.035462113899524,9.662553309595047,4.504513855353329,10.0,4.0,16.0,1057.5862894474858,660.9448642411978,1718.5311536886836,mittel,stark
R1,42,227.82365187291518,636.4802174144936,7.009444466297047,9.86918452640461,4.383219208993102,10.0,4.0,16.0,1060.746923120293,642.2740755435866,1703.0209986638797,stark,mittel
R2,55,228.14750085122287,634.0977595832846,6.9955082860808,9.351634505726231,4.1228420397953975,10.0,4.0,16.0,1062.2547639632937,637.820043177616,1700.0748071409098,stark,mittel
R3,67,225.67924314272997,638.8993341793954,6.978656344611722,9.672636246207135,4.3369133092937036,10.0,4.0,16.0,1050.7625560725508,621.1162613248187,1671.8788173973694,schwach,schwach
R2,73,228.88168825974847,639.4516023524401,7.136688370121657,9.708218959681872,4.482625125355528,10.0,4.0,16.0,1065.673140537389,679.4157880255743,1745.0889285629632,stark,stark
R3,88,227.34069534398867,629.1895285624785,7.002095566724871,9.81253854864582,4.246534215755979,10.0,4.0,16.0,1058.4982775216113,639.5034304914412,1698.0017080130524,mittel,mittel
R1,99,228.86805572243455,640.7158601762425,6.979220519414651,9.869101615087775,4.585952082474222,10.0,4.0,16.0,1065.6096674436553,647.7383298270718,1713.347997270727,stark,mittel
